"Species","Genus","Family","species.relative","genus.relative"
"Blakea rosea","Blakea","Melastomataceae",,
"Guettarda pohliana","Guettarda","Rubiaceae",,
"Aiouea CMG2006","Aiouea","Lauraceae",,
"Solanum goodspeedii","Solanum","Solanaceae",,
"Clusia flavida","Clusia","Clusiaceae",,
"Neea LC2607","Neea","Nyctaginaceae",,
"Psychotria RS8459","Psychotria","Rubiaceae",,
"Aegiphila herzogii","Aegiphila","Lamiaceae",,
"Byttneria asterotricha","Byttneria","Malvaceae",,
"Solanum grandiflorum","Solanum","Solanaceae",,
"Ocotea sp30","Ocotea","Lauraceae",,
"Aniba taubertiana","Aniba","Lauraceae",,
"Brunellia dulcis","Brunellia","Brunelliaceae",,
"Meliosma glossophylla","Meliosma","Sabiaceae",,
"Tachigali sp4","Tachigali","Fabaceae",,
"Casearia corymbosa","Casearia","Salicaceae",,
"Meriania sp3","Meriania","Melastomataceae",,
"Miconia sp52","Miconia","Melastomataceae",,
"Inga macrophylla","Inga","Fabaceae",,
"Attalea speciosa","Attalea","Arecaceae",,
"Eugenia omissa","Eugenia","Myrtaceae",,
"Croton GAT3012","Croton","Euphorbiaceae",,
"Securidaca volubilis","Securidaca","Polygalaceae",,
"Weinmannia MCM1203","Weinmannia","Cunoniaceae",,
"Alibertia GAT2099","Alibertia","Rubiaceae",,
"Neea floribunda","Neea","Nyctaginaceae",,
"Viburnum hallii","Viburnum","Adoxaceae",,
"Casearia sp4","Casearia","Salicaceae",,
"Endlicheria sp3","Endlicheria","Lauraceae",,
"Couepia racemosa","Couepia","Chrysobalanaceae",,
"Rudgea cornifolia","Rudgea","Rubiaceae",,
"Pouteria macrophylla","Pouteria","Sapotaceae",,
"Guatteria sp3","Guatteria","Annonaceae",,
"Miconia sp24","Miconia","Melastomataceae",,
"Monina sp2","Monina","Polygalaceae",,
"Eugenia MJM6610","Eugenia","Myrtaceae",,
"Eugenia coffeifolia","Eugenia","Myrtaceae",,
"Guettarda viburnoides","Guettarda","Rubiaceae",,
"Parinari LC2632","Parinari","Chrysobalanaceae",,
"Senna herzogii","Senna","Fabaceae",,
"Baccharis CMG3031","Baccharis","Asteraceae",,
"Deguelia amazonica","Deguelia","Fabaceae",,
"Pristimera nervosa","Pristimera","Celastraceae",,
"Schwartzia weddelliana","Schwartzia","Marcgraviaceae",,
"Platymiscium stipulare","Platymiscium","Fabaceae",,
"Mansoa verrucifera","Mansoa","Bignoniaceae",,
"Magnolia boliviana","Magnolia","Magnoliaceae",,
"Endlicheria sp","Endlicheria","Lauraceae",,
"Miconia theizans","Miconia","Melastomataceae",,
"Ladenbergia macrocarpa","Ladenbergia","Rubiaceae",,
"Quararibea sp2","Quararibea","Malvaceae",,
"Vochysia sp1","Vochysia","Vochysiaceae",,
"Miconia sp72","Miconia","Melastomataceae",,
"Miconia sp54","Miconia","Melastomataceae",,
"Elaeagia obovata","Elaeagia","Rubiaceae",,
"Myrcia atrorufa","Myrcia","Myrtaceae",,
"Enterolobium contortisiliquum","Enterolobium","Fabaceae",,
"Myrsine umbellata","Myrsine","Primulaceae",,
"Prunus debilis","Prunus","Rosaceae",,
"Alibertia CMG2834","Alibertia","Rubiaceae",,
"Disterigma alaternoides","Disterigma","Ericaceae",,
"Miconia GAT2916","Miconia","Melastomataceae",,
"Mansoa alliacea","Mansoa","Bignoniaceae",,
"Weinmannia AF16205","Weinmannia","Cunoniaceae",,
"Duranta mandonii","Duranta","Verbenaceae",,
"Casearia nigricolor","Casearia","Salicaceae",,
"Cinchona sp","Cinchona","Rubiaceae",,
"Freziera uniauriculata","Freziera","Pentaphylacaceae",,
"Henriettella sp1","Henriettella","Melastomataceae",,
"Ocotea sp20","Ocotea","Lauraceae",,
"Myrsine sp10","Myrsine","Primulaceae",,
"Lueheopsis duckeana","Lueheopsis","Malvaceae",,
"Psychotria AEC305","Psychotria","Rubiaceae",,
"Prunus AF8816A","Prunus","Rosaceae",,
"Fridericia japurensis","Fridericia","Bignoniaceae",,
"Rhodostemonodaphne GAT755","Rhodostemonodaphne","Lauraceae",,
"Mouriri peruviana","Mouriri","Melastomataceae",,
"Pachira insignis","Pachira","Malvaceae",,
"Macrocarpaea fuentesii","Macrocarpaea","Gentianaceae",,
"Ocotea MQG16","Ocotea","Lauraceae",,
"Amicia lobbiana","Amicia","Fabaceae",,
"Myrteola phylicoides","Myrteola","Myrtaceae",,
"Cupania FB219","Cupania","Sapindaceae",,
"Hillia illustris","Hillia","Rubiaceae",,
"Machaerium madeirense","Machaerium","Fabaceae",,
"Ouratea angulata","Ouratea","Ochnaceae",,
"Miconia AF13043","Miconia","Melastomataceae",,
"Anomospermum bolivianum","Anomospermum","Menispermaceae",,
"Trichilia lecointei","Trichilia","Meliaceae",,
"Clematis dioica","Clematis","Ranunculaceae",,
"Serjania AAD788","Serjania","Sapindaceae",,
"Siphocampylus vatkeanus","Siphocampylus","Campanulaceae",,
"Unonopsis guatterioides","Unonopsis","Annonaceae",,
"Mezilaurus campaucola","Mezilaurus","Lauraceae",,
"Neea laxa","Neea","Nyctaginaceae",,
"Hedyosmum anisodorum","Hedyosmum","Chloranthaceae",,
"Inga leiocalycina","Inga","Fabaceae",,
"Miconia sp14","Miconia","Melastomataceae",,
"Meliosma sp7","Meliosma","Sabiaceae",,
"Persea AM3263","Persea","Lauraceae",,
"Eriotheca sclerophylla","Eriotheca","Malvaceae",,
"Sterculia rebeccae","Sterculia","Malvaceae",,
"Trichilia septentrionalis","Trichilia","Meliaceae",,
"Nectandra NPZ4854","Nectandra","Lauraceae",,
"Aristolochia hoehneana","Aristolochia","Aristolochiaceae",,
"Drymonia candida","Drymonia","Gesneriaceae",,
"Adenocalymma bracteolatum","Adenocalymma","Bignoniaceae",,
"Mikania GAT2585","Mikania","Asteraceae",,
"Tabernaemontana vanheurckii","Tabernaemontana","Apocynaceae",,
"Meriania LC2710","Meriania","Melastomataceae",,
"Paullinia ingifolia","Paullinia","Sapindaceae",,
"Erisma uncinatum","Erisma","Vochysiaceae",,
"Miconia longifolia","Miconia","Melastomataceae",,
"Seguieria brevithyrsa","Seguieria","Petiveriaceae",,
"Brosimum guianense","Brosimum","Moraceae",,
"Sciodaphyllum buchtienii","Sciodaphyllum","Araliaceae",,
"Miconia sp15","Miconia","Melastomataceae",,
"Protium opacum","Protium","Burseraceae",,
"Ocotea sp17","Ocotea","Lauraceae",,
"Ilex microdonta","Ilex","Aquifoliaceae",,
"Myrsine sp3","Myrsine","Primulaceae",,
"Oreopanax sp5","Oreopanax","Araliaceae",,
"Pentacalia sp7","Pentacalia","Asteraceae",,
"Pouroma mollis","Pouroma","Urticaceae",,
"Agonandra brasiliensis","Agonandra","Opiliaceae",,
"Pouteria MJM6791","Pouteria","Sapotaceae",,
"Albizia pedicellaris","Albizia","Fabaceae",,
"Lundia densiflora","Lundia","Bignoniaceae",,
"Ocotea BNA737","Ocotea","Lauraceae",,
"Senegalia velutina","Senegalia","Fabaceae",,
"Psychotria falcata","Psychotria","Rubiaceae",,
"Lonchocarpus AF5437","Lonchocarpus","Fabaceae",,
"Quechualia fulta","Quechualia","Asteraceae",,
"Ophryosporus axilliflorus","Ophryosporus","Asteraceae",,
"Clusia AM113","Clusia","Clusiaceae",,
"Paullinia MCT120","Paullinia","Sapindaceae",,
"Ruagea hirsuta","Ruagea","Meliaceae",,
"Matayba arborescens","Matayba","Sapindaceae",,
"Serjania pyramidata","Serjania","Sapindaceae",,
"Mucuna MJM6893","Mucuna","Fabaceae",,
"Schnella pterocalyx","Schnella","Fabaceae",,
"Pouteria sp7","Pouteria","Sapotaceae",,
"Ormosia sp1","Ormosia","Fabaceae",,
"Cordia lomatoloba","Cordia","Boraginaceae",,
"Solanum sp11","Solanum","Solanaceae",,
"Guatteria guentheri","Guatteria","Annonaceae",,
"Endlicheria sp5","Endlicheria","Lauraceae",,
"Palicourea lineata","Palicourea","Rubiaceae",,
"Miconia sp74","Miconia","Melastomataceae",,
"Rauvolfia praecox","Rauvolfia","Apocynaceae",,
"Coussapoa ovalifolia","Coussapoa","Urticaceae",,
"Alibertia ILR365","Alibertia","Rubiaceae",,
"Miconia GAT2743","Miconia","Melastomataceae",,
"Jungia weberbaueri","Jungia","Asteraceae",,
"Ternstroemia circumscissilis","Ternstroemia","Pentaphylacaceae",,
"Qualea AF17299","Qualea","Vochysiaceae",,
"Eugenia MJM4650","Eugenia","Myrtaceae",,
"Tanaecium tetragonolobum","Tanaecium","Bignoniaceae",,
"Elaeoluma nuda","Elaeoluma","Sapotaceae",,
"Pourouma cuspidata","Pourouma","Urticaceae",,
"Ocotea sp28","Ocotea","Lauraceae",,
"Inga sp5","Inga","Fabaceae",,
"Sloanea sp7","Sloanea","Elaeocarpaceae",,
"Himatanthus sucuuba","Himatanthus","Apocynaceae",,
"Freziera angulosa","Freziera","Theaceae",,
"Ilex sp5","Ilex","Aquifoliaceae",,
"Symplocos mezii","Symplocos","Symplocaceae",,
"Acanthosyris ILR404","Acanthosyris","Santalaceae",,
"Struthanthus acuminatus","Struthanthus","Loranthaceae",,
"Coccoloba densifrons","Coccoloba","Polygonaceae",,
"Styrax GAT2722","Styrax","Styracaceae",,
"Odontadenia laxiflora","Odontadenia","Apocynaceae",,
"Daphnopsis MCM1231","Daphnopsis","Thymelaeaceae",,
"Marsdenia macrophylla","Marsdenia","Apocynaceae",,
"Piper FB305","Piper","Piperaceae",,
"Ilex microsticta","Ilex","Aquifoliaceae",,
"Miconia AF11750","Miconia","Melastomataceae",,
"Oreopanax sp11","Oreopanax","Araliaceae",,
"Centropogon sp1","Centropogon","Campanulaceae",,
"Clusia sp10","Clusia","Clusiaceae",,
"Escallonia sp1","Escallonia","Escalloniaceae",,
"Pentacalia sp2","Pentacalia","Asteraceae",,
"Lonchocarpus AM2704","Lonchocarpus","Fabaceae",,
"Piper propinquum","Piper","Piperaceae",,
"Ficus aripuanensis","Ficus","Moraceae",,
"Chrysophyllum ovale","Chrysophyllum","Sapotaceae",,
"Weinmannia GAT2818","Weinmannia","Cunoniaceae",,
"Rudgea MJM5257","Rudgea","Rubiaceae",,
"Miconia sp37","Miconia","Melastomataceae",,
"Vochysia biloba","Vochysia","Vochysiaceae",,
"Brunellia cuzcoensis","Brunellia","Brunelliaceae",,
"Swartzia sp2","Swartzia","Fabaceae",,
"Aspidosperma sp2","Aspidosperma","Apocynaceae",,
"Oreopanax microcephalus","Oreopanax","Araliaceae",,
"Xylosma intermedia","Xylosma","Salicaceae",,
"Ocotea subrutilans","Ocotea","Lauraceae",,
"Swietenia macrophylla","Swietenia","Meliaceae",,
"Prunus guanaiensis","Prunus","Rosaceae",,
"Miconia micrantha","Miconia","Melastomataceae",,
"Cyathea MQG129","Cyathea","Cyatheaceae",,
"Citharexylum reticulatum","Citharexylum","Verbenaceae",,
"Byrsonima poeppigiana","Byrsonima","Malpighiaceae",,
"Cupania cinerea","Cupania","Sapindaceae",,
"Heisteria scandens","Heisteria","Olacaceae",,
"Pseudobombax longiflorum","Pseudobombax","Malvaceae",,
"Aniba sp10","Aniba","Lauraceae",,
"Erythrina ulei","Erythrina","Fabaceae",,
"Psychotria tinctoria","Psychotria","Rubiaceae",,
"Psychotria CMG2521","Psychotria","Rubiaceae",,
"Cuspidaria subincana","Cuspidaria","Bignoniaceae",,
"Coussarea AF3678","Coussarea","Rubiaceae",,
"Alibertia RS8452","Alibertia","Rubiaceae",,
"Emmeorhiza umbellata","Emmeorhiza","Rubiaceae",,
"Chiococca alba","Chiococca","Rubiaceae",,
"Couepia bernardii","Couepia","Chrysobalanaceae",,
"Ficus sp2","Ficus","Moraceae",,
"Oreopanax sp7","Oreopanax","Araliaceae",,
"Bauhinia acreana","Bauhinia","Fabaceae",,
"Faramea capillipes","Faramea","Rubiaceae",,
"Freziera GAT2793","Freziera","Pentaphylacaceae",,
"Posoqueria longiflora","Posoqueria","Rubiaceae",,
"Solanum inelegans","Solanum","Solanaceae",,
"Cinnamomum AF5142","Cinnamomum","Lauraceae",,
"Chrysochlamys MCM343","Chrysochlamys","Clusiaceae",,
"Miconia AF17217","Miconia","Melastomataceae",,
"Oreopanax membranaceus","Oreopanax","Araliaceae",,
"Podocarpus ballivianensis","Podocarpus","Podocarpaceae",,
"Eugenia limbosa","Eugenia","Myrtaceae",,
"Ficus trapezicola","Ficus","Moraceae",,
"Ocotea sp","Ocotea","Lauraceae",,
"Guatteria sp8","Guatteria","Annonaceae",,
"Saurauia sp2","Saurauia","Actinidiaceae",,
"Miconia sp35","Miconia","Melastomataceae",,
"Protium aracouchini","Protium","Burseraceae",,
"Stizophyllum riparium","Stizophyllum","Bignoniaceae",,
"Senegalia BNA186","Senegalia","Fabaceae",,
"Miconia GAT2395","Miconia","Melastomataceae",,
"Prestonia leco","Prestonia","Apocynaceae",,
"Cyathea planadae","Cyathea","Cyatheaceae",,
"Fridericia fanshawei","Fridericia","Bignoniaceae",,
"Ouratea scottii","Ouratea","Ochnaceae",,
"Licania octandra","Licania","Chrysobalanaceae",,
"Magnolia amazonica","Magnolia","Magnoliaceae",,
"Nectandra reticulata","Nectandra","Lauraceae",,
"Leandra sp2","Leandra","Melastomataceae",,
"Prunus sp3","Prunus","Rosaceae",,
"Rudgea verticillata","Rudgea","Rubiaceae",,
"Triplaris poeppigiana","Triplaris","Polygonaceae",,
"Ceiba samauma","Ceiba","Malvaceae",,
"Ficus castellviana","Ficus","Moraceae",,
"Piper hispidum","Piper","Piperaceae",,
"Cyathea lasiosora","Cyathea","Cyatheaceae",,
"Chamaedorea pinnatifrons","Chamaedorea","Arecaceae",,
"Peritassa pruinosa","Peritassa","Celastraceae",,
"Fridericia candicans","Fridericia","Bignoniaceae",,
"Bidens reptans","Bidens","Asteraceae",,
"Ocotea RSS25","Ocotea","Lauraceae",,
"Trichilia elsae","Trichilia","Meliaceae",,
"Forsteronia GAT2267","Forsteronia","Apocynaceae",,
"Miconia triplinervis","Miconia","Melastomataceae",,
"Vochysia sp4","Vochysia","Vochysiaceae",,
"Mollinedia tomentosa","Mollinedia","Monimiaceae",,
"Psychotria allenii","Psychotria","Rubiaceae",,
"Aspidosperma sp1","Aspidosperma","Apocynaceae",,
"Myriocarpa sp","Myriocarpa","Urticaceae",,
"Piper sp10","Piper","Piperaceae",,
"Weinmannia glomerata","Weinmannia","Cunoniaceae",,
"Ocotea NPZ4964","Ocotea","Lauraceae",,
"Tovomita laurina","Tovomita","Clusiaceae",,
"Miconia sessilifolia","Miconia","Melastomataceae",,
"Casearia AM2139","Casearia","Salicaceae",,
"Cochliasanthus caracalla","Cochliasanthus","Fabaceae",,
"Alsophila sp2","Alsophila","Cyatheaceae",,
"Casearia sp3","Casearia","Salicaceae",,
"Micropholis egensis","Micropholis","Sapotaceae",,
"Tetragastris panamensis","Tetragastris","Burseraceae",,
"Bunchosia paraguariensis","Bunchosia","Malpighiaceae",,
"Aegiphila NPZ5637","Aegiphila","Lamiaceae",,
"Alicia anisopetala","Alicia","Malpighiaceae",,
"Gaultheria vaccinioides","Gaultheria","Ericaceae",,
"Dendrophorbium yungasense","Dendrophorbium","Asteraceae",,
"Aniba megaphylla","Aniba","Lauraceae",,
"Trichilia MJM6013","Trichilia","Meliaceae",,
"Mabea fistulifera","Mabea","Euphorbiaceae",,
"Barnadesia caryophylla","Barnadesia","Asteraceae",,
"Neea dimorphophylla","Neea","Nyctaginaceae",,
"Guatteria sp15","Guatteria","Annonaceae",,
"Clusia sp7","Clusia","Clusiaceae",,
"Trichilia sp3","Trichilia","Meliaceae",,
"Lacmellea peruviana","Lacmellea","Apocynaceae",,
"Miconia sp29","Miconia","Melastomataceae",,
"Hieronyma duquei","Hieronyma","Euphorbiaceae",,
"Fridericia trailii","Fridericia","Bignoniaceae",,
"Aniba hostmanniana","Aniba","Lauraceae",,
"Graffenrieda conostegioides","Graffenrieda","Melastomataceae",,
"Schnella guianensis","Schnella","Fabaceae",,
"Malanea boliviana","Malanea","Rubiaceae",,
"Pluchea GAT479","Pluchea","Asteraceae",,
"Hyperbaena domingensis","Hyperbaena","Menispermaceae",,
"Machaerium sp1","Machaerium","Fabaceae",,
"Clethra obovata","Clethra","Clethraceae",,
"Persea nudigemma","Persea","Lauraceae",,
"Helicostylis sp2","Helicostylis","Moraceae",,
"Dendropanax oblongifolius","Dendropanax","Araliaceae",,
"Fridericia BNA557","Fridericia","Bignoniaceae",,
"Maytenus sprucei","Maytenus","Celastraceae",,
"Miconia MVH126","Miconia","Melastomataceae",,
"Miconia BNA279","Miconia","Melastomataceae",,
"Chomelia paniculata","Chomelia","Rubiaceae",,
"Dioclea ILR46","Dioclea","Fabaceae",,
"Erythrina falcata","Erythrina","Fabaceae",,
"Bredemeyera floribunda","Bredemeyera","Polygalaceae",,
"Paullinia rugosa","Paullinia","Sapindaceae",,
"Panopsis yungasensis","Panopsis","Proteaceae",,
"Cheiloclinium GAT1797","Cheiloclinium","Celastraceae",,
"Siparuna GAT2287","Siparuna","Siparunaceae",,
"Rauvolfia sprucei","Rauvolfia","Apocynaceae",,
"Cecropia sp1","Cecropia","Urticaceae",,
"Ficus crocata","Ficus","Moraceae",,
"Solanum cutervanum","Solanum","Solanaceae",,
"Licania arborea","Licania","Chrysobalanaceae",,
"Miconia CMG2351","Miconia","Melastomataceae",,
"Symplocos subcuneata","Symplocos","Symplocaceae",,
"Cupania scrobiculata","Cupania","Sapindaceae",,
"Miconia subandicola","Miconia","Melastomataceae",,
"Calyptranthes MJM4920","Calyptranthes","Myrtaceae",,
"Ocotea MJM6758","Ocotea","Lauraceae",,
"Pleurothyrium poeppigii","Pleurothyrium","Lauraceae",,
"Ficus pertusa","Ficus","Moraceae",,
"Lonchocarpus sp","Lonchocarpus","Fabaceae",,
"Inga steinbachii","Inga","Fabaceae",,
"Stylogyne longifolia","Stylogyne","Primulaceae",,
"Protium meridionale","Protium","Burseraceae",,
"Paullinia selenoptera","Paullinia","Sapindaceae",,
"Brunfelsia mire","Brunfelsia","Solanaceae",,
"Mikania guaco","Mikania","Asteraceae",,
"Brunfelsia grandiflora","Brunfelsia","Solanaceae",,
"Randia micracantha","Randia","Rubiaceae",,
"Psychotria AF5146","Psychotria","Rubiaceae",,
"Siparuna thecaphora","Siparuna","Siparunaceae",,
"Ocotea MJM7036","Ocotea","Lauraceae",,
"Diplostephium haenkei","Diplostephium","Asteraceae",,
"Morella chevalieri","Morella","Myricaceae",,
"Pouteria RS8572","Pouteria","Sapotaceae",,
"Centrolobium microchaete","Centrolobium","Fabaceae",,
"Martinella obovata","Martinella","Bignoniaceae",,
"Matisia bicolor","Matisia","Malvaceae",,
"Miconia sp1","Miconia","Melastomataceae",,
"Bellucia grossularioides","Bellucia","Melastomataceae",,
"Inga sp21","Inga","Fabaceae",,
"Nectandra sp21","Nectandra","Lauraceae",,
"Pourouma sp8","Pourouma","Urticaceae",,
"Hirtella sp1","Hirtella","Chrysobalanaceae",,
"Eugenia sp2","Eugenia","Myrtaceae",,
"Miconia sp41","Miconia","Melastomataceae",,
"Alchornea sp11","Alchornea","Euphorbiaceae",,
"Mendoncia meyeniana","Mendoncia","Acanthaceae",,
"Cheiloclinium ETP309","Cheiloclinium","Celastraceae",,
"Schoepfia tetramera","Schoepfia","Schoepfiaceae",,
"Byrsonima crispa","Byrsonima","Malpighiaceae",,
"Miconia ternatifolia","Miconia","Melastomataceae",,
"Annona ambotay","Annona","Annonaceae",,
"Miconia astroplocama","Miconia","Melastomataceae",,
"Chimarrhis hookeri","Chimarrhis","Rubiaceae",,
"Rheedia brasiliensis","Rheedia","Clusiaceae",,
"Meliosma sp14","Meliosma","Sabiaceae",,
"Weinmannia LC4791","Weinmannia","Cunoniaceae",,
"Cecropia concolor","Cecropia","Urticaceae",,
"Paullinia bracteosa","Paullinia","Sapindaceae",,
"Serjania elongata","Serjania","Sapindaceae",,
"Miconia bubalina","Miconia","Melastomataceae",,
"Trichostigma octandrum","Trichostigma","Petiveriaceae",,
"Andira LC617","Andira","Fabaceae",,
"Abuta pahnii","Abuta","Menispermaceae",,
"Triplaris weigeltiana","Triplaris","Polygonaceae",,
"Alibertia sp1","Alibertia","Rubiaceae",,
"Lonchocarpus sp3","Lonchocarpus","Fabaceae",,
"Miconia sp8","Miconia","Melastomataceae",,
"Lozania nunkui","Lozania","Lacistemataceae",,
"Cyathea pallescens","Cyathea","Cyatheaceae",,
"Ladenbergia sp4","Ladenbergia","Rubiaceae",,
"Eugenia NA873","Eugenia","Myrtaceae",,
"Citharexylum laurifolium","Citharexylum","Verbenaceae",,
"Tibouchina calycina","Tibouchina","Melastomataceae",,
"Basistemon silvaticus","Basistemon","Plantaginaceae",,
"Disterigma ovatum","Disterigma","Ericaceae",,
"Aegiphila MJM5497","Aegiphila","Lamiaceae",,
"Matayba macrostylis","Matayba","Sapindaceae",,
"Mikania MJM5222","Mikania","Asteraceae",,
"Inga laurina","Inga","Fabaceae",,
"Cheiloclinium GAT2107","Cheiloclinium","Celastraceae",,
"Hydrangea jelskii","Hydrangea","Hydrangeaceae",,
"Inga sp8","Inga","Fabaceae",,
"Symplocos bogotensis","Symplocos","Symplocaceae",,
"Cyathea sp11","Cyathea","Cyatheaceae",,
"Ageratina sp1","Ageratina","Asteraceae",,
"Inga sp37","Inga","Fabaceae",,
"Aniba robusta","Aniba","Lauraceae",,
"Ocotea sp25","Ocotea","Lauraceae",,
"Anomospermum chloranthum","Anomospermum","Menispermaceae",,
"Geonoma deversa","Geonoma","Arecaceae",,
"Paullinia clavigera","Paullinia","Sapindaceae",,
"Dendrobangia boliviana","Dendrobangia","Metteniusaceae",,
"Meliosma sp11","Meliosma","Sabiaceae",,
"Piper sp2","Piper","Piperaceae",,
"Myrcia MJM6842","Myrcia","Myrtaceae",,
"Myrsine oligophylla","Myrsine","Primulaceae",,
"Forsteronia LC750","Forsteronia","Apocynaceae",,
"Lecointea peruviana","Lecointea","Fabaceae",,
"Endlicheria CMG1904","Endlicheria","Lauraceae",,
"Axinaea lanceolata","Axinaea","Melastomataceae",,
"Cuspidaria floribunda","Cuspidaria","Bignoniaceae",,
"Solanum abutilifolium","Solanum","Solanaceae",,
"Banisteriopsis nummifera","Banisteriopsis","Malpighiaceae",,
"Gaultheria bracteata","Gaultheria","Ericaceae",,
"Chrysophyllum LC262","Chrysophyllum","Sapotaceae",,
"Psammisia sp1","Psammisia","Ericaceae",,
"Piper sp7","Piper","Piperaceae",,
"Faramea paniculata","Faramea","Rubiaceae",,
"Dioclea glabra","Dioclea","Fabaceae",,
"Ilex GAT2856","Ilex","Aquifoliaceae",,
"Mikania NA2799","Mikania","Asteraceae",,
"Endlicheria sp11","Endlicheria","Lauraceae",,
"Cecropia sp7","Cecropia","Urticaceae",,
"Vochysia sp2","Vochysia","Vochysiaceae",,
"Cyathea sp7","Cyathea","Cyatheaceae",,
"Bellucia pentamera","Bellucia","Melastomataceae",,
"Inga sp26","Inga","Fabaceae",,
"Inga sp1","Inga","Fabaceae",,
"Annona MRL48","Annona","Annonaceae",,
"Coussarea longiflora","Coussarea","Rubiaceae",,
"Diploon cuspidatum","Diploon","Sapotaceae",,
"Eugenia cydoniifolia","Eugenia","Myrtaceae",,
"Symplocos scabra","Symplocos","Symplocaceae",,
"Borismene japurensis","Borismene","Menispermaceae",,
"Chimarrhis sp1","Chimarrhis","Rubiaceae",,
"Psychotria sp10","Psychotria","Rubiaceae",,
"Ceroxylon sp4","Ceroxylon","Arecaceae",,
"Miconia sp43","Miconia","Melastomataceae",,
"Ilex ovalis","Ilex","Aquifoliaceae",,
"Ocotea LC5997","Ocotea","Lauraceae",,
"Xylosma venosa","Xylosma","Salicaceae",,
"Besleria longipedunculata","Besleria","Gesneriaceae",,
"Palicourea bangii","Palicourea","Rubiaceae",,
"Alseis RS8721","Alseis","Rubiaceae",,
"Guettarda tournefortiopsis","Guettarda","Rubiaceae",,
"Serjania caracasana","Serjania","Sapindaceae",,
"Geonoma sp3","Geonoma","Arecaceae",,
"Guatteria glauca","Guatteria","Annonaceae",,
"Miconia sp33","Miconia","Melastomataceae",,
"Alibertia AM3421","Alibertia","Rubiaceae",,
"Mansoa parvifolia","Mansoa","Bignoniaceae",,
"Solanum incarceratum","Solanum","Solanaceae",,
"Lessingianthus laurifolius","Lessingianthus","Asteraceae",,
"Zinowiewia australis","Zinowiewia","Celastraceae",,
"Cybianthus ambigua","Cybianthus","Primulaceae",,
"Micropholis melinoniana","Micropholis","Sapotaceae",,
"Miconia aurea","Miconia","Melastomataceae",,
"Quararibea sp1","Quararibea","Malvaceae",,
"Miconia sp31","Miconia","Melastomataceae",,
"Miconia sp47","Miconia","Melastomataceae",,
"Saurauia sp1","Saurauia","Actinidiaceae",,
"Cecropia latiloba","Cecropia","Urticaceae",,
"Aniba AEC243","Aniba","Lauraceae",,
"Pouteria GAT634","Pouteria","Sapotaceae",,
"Weinmannia MQG47","Weinmannia","Cunoniaceae",,
"Bauhinia sp1","Bauhinia","Fabaceae",,
"Cyathea sp5","Cyathea","Cyatheaceae",,
"Virola elongata","Virola","Myristicaceae",,
"Sorocea sprucei","Sorocea","Moraceae",,
"Prestoea acuminata","Prestoea","Arecaceae",,
"Aegiphila verticillata","Aegiphila","Lamiaceae",,
"Chomelia AF4462","Chomelia","Rubiaceae",,
"Serjania nutans","Serjania","Sapindaceae",,
"Capparidastrum osmanthum","Capparidastrum","Capparaceae",,
"Miconia sp11","Miconia","Melastomataceae",,
"Inga megalobotrys","Inga","Fabaceae",,
"Monina sp4","Monina","Polygalaceae",,
"Ternstroenia sp1","Ternstroenia","Theaceae",,
"Carica papaya","Carica","Caricaceae",,
"Baccharis GAT2564","Baccharis","Asteraceae",,
"Faramea cuencana","Faramea","Rubiaceae",,
"Miconia MJM5882","Miconia","Melastomataceae",,
"Parathesis adenanthera","Parathesis","Primulaceae",,
"Byrsonima MJM5283","Byrsonima","Malpighiaceae",,
"Monnina connectisepala","Monnina","Polygalaceae",,
"Meliosma sp4","Meliosma","Sabiaceae",,
"Miconia sp53","Miconia","Melastomataceae",,
"Tassadia grazielae","Tassadia","Apocynaceae",,
"Cordia CMG1815","Cordia","Boraginaceae",,
"Fridericia oligantha","Fridericia","Bignoniaceae",,
"Psychotria venulosa","Psychotria","Rubiaceae",,
"Pourouma sp3","Pourouma","Urticaceae",,
"Sloanea sp2","Sloanea","Elaeocarpaceae",,
"Guatteria sp6","Guatteria","Annonaceae",,
"Miconia sp57","Miconia","Melastomataceae",,
"Smilax domingensis","Smilax","Smilacaceae",,
"Coutarea hexandra","Coutarea","Rubiaceae",,
"Protium sp6","Protium","Burseraceae",,
"Alchornea sp1","Alchornea","Euphorbiaceae",,
"Sparattosperma leucanthum","Sparattosperma","Bignoniaceae",,
"Endlicheria chalisea","Endlicheria","Lauraceae",,
"Palicourea mansoana","Palicourea","Rubiaceae",,
"Ocotea PCL155","Ocotea","Lauraceae",,
"Ocotea DC179","Ocotea","Lauraceae",,
"Albizia niopoides","Albizia","Fabaceae",,
"Baccharis GAT530","Baccharis","Asteraceae",,
"Serjania tenuifolia","Serjania","Sapindaceae",,
"Machaerium peruvianum","Machaerium","Fabaceae",,
"Faramea tamberlikiana","Faramea","Rubiaceae",,
"Monina sp1","Monina","Polygalaceae",,
"Piper praeacutilimbum","Piper","Piperaceae",,
"Piper orthostachyum","Piper","Piperaceae",,
"Curarea tomentocarpa","Curarea","Menispermaceae",,
"Mikania GAT1908","Mikania","Asteraceae",,
"Asplundia MCM309","Asplundia","Cyclanthaceae",,
"Ziziphus cinnamomum","Ziziphus","Rhamnaceae",,
"Clidemia ECQ90","Clidemia","Melastomataceae",,
"Alibertia edulis","Alibertia","Rubiaceae",,
"Senegalia martiusiana","Senegalia","Fabaceae",,
"Forsteronia myriantha","Forsteronia","Apocynaceae",,
